"spec_id","tissue_scope","canonical_cell_type","positive_markers","aliases","source_class","developed_on","date_frozen","frozen_before_external_validation"
"DeepSeekCell reliability specification v1.0","generic","T cell","CD3D;CD3E;CD2;TRAC;TRBC1;TRBC2","t lymphocyte;t-cell;t cells","manual_curated_frozen_v1.0","development benchmark only","2026-08-06",TRUE
"DeepSeekCell reliability specification v1.0","generic","CD4 T cell","CD3D;CD3E;CD4;IL7R;CCR7;LTB","cd4 positive alpha beta t cell;cd4-positive t cell","manual_curated_frozen_v1.0","development benchmark only","2026-08-06",TRUE
"DeepSeekCell reliability specification v1.0","generic","CD8 T cell","CD3D;CD3E;CD8A;CD8B;GZMK;NKG7","cd8 positive alpha beta t cell;cytotoxic t cell","manual_curated_frozen_v1.0","development benchmark only","2026-08-06",TRUE
"DeepSeekCell reliability specification v1.0","generic","B cell","MS4A1;CD79A;CD79B;CD74;BANK1;CD19","b lymphocyte;b-cell;b cells","manual_curated_frozen_v1.0","development benchmark only","2026-08-06",TRUE
"DeepSeekCell reliability specification v1.0","generic","plasma cell","MZB1;JCHAIN;XBP1;SDC1;IGHG1;IGKC","","manual_curated_frozen_v1.0","development benchmark only","2026-08-06",TRUE
"DeepSeekCell reliability specification v1.0","generic","natural killer cell","NKG7;GNLY;KLRD1;KLRF1;PRF1;GZMB","nk cell;nk cells","manual_curated_frozen_v1.0","development benchmark only","2026-08-06",TRUE
"DeepSeekCell reliability specification v1.0","generic","monocyte","LYZ;LST1;S100A8;S100A9;FCN1;CTSS","","manual_curated_frozen_v1.0","development benchmark only","2026-08-06",TRUE
"DeepSeekCell reliability specification v1.0","generic","macrophage","C1QA;C1QB;C1QC;CD68;MARCO;MRC1","","manual_curated_frozen_v1.0","development benchmark only","2026-08-06",TRUE
"DeepSeekCell reliability specification v1.0","generic","dendritic cell","FCER1A;CLEC10A;CD1C;ITGAX;LILRA4;IRF8","","manual_curated_frozen_v1.0","development benchmark only","2026-08-06",TRUE
"DeepSeekCell reliability specification v1.0","generic","endothelial cell","PECAM1;VWF;KDR;CLDN5;FLT1;EMCN","","manual_curated_frozen_v1.0","development benchmark only","2026-08-06",TRUE
