"Dataset","Tissue","Species","Method","Replicate","RefinementSelector","RefinementBudgetK","ConfidenceColumn","Brier","BinaryCorrectnessNLL","NLL","ECE","AUROC","AURC","MeanConfidence","Accuracy","CoverageAt0.7","CoverageAt0.8","CoverageAt0.9","AccuracyAt0.7","AccuracyAt0.8","AccuracyAt0.9"
"PBMC","PBMC","Human","DeepSeek-Plain",1,"none",0,"LLMConfidence",0.0025,0.0512932943875506,0.0512932943875506,0.05,NA,0,0.95,1,1,1,1,1,1,1
"PBMC","PBMC","Human","DeepSeekCell-Evidence",1,"none",0,"LLMConfidence",0.0025,0.0512932943875506,0.0512932943875506,0.05,NA,0,0.95,1,1,1,1,1,1,1
"PBMC","PBMC","Human","DeepSeekCell-Calibrated",1,"none",0,"Confidence",0.022003375,0.154799325178064,0.154799325178064,0.142375,NA,0,0.857625,1,1,0.875,0,1,1,NA
"PBMC","PBMC","Human","DeepSeekCell-SelfRefined",1,"evidence-k",0,"Confidence",0.022003375,0.154799325178064,0.154799325178064,0.142375,NA,0,0.857625,1,1,0.875,0,1,1,NA
"PBMC","PBMC","Human","DeepSeekCell-RandomK",1,"random-k",0,"Confidence",0.022003375,0.154799325178064,0.154799325178064,0.142375,NA,0,0.857625,1,1,0.875,0,1,1,NA
"PBMC","PBMC","Human","DeepSeekCell-ConfidenceK",1,"confidence-k",0,"Confidence",0.022003375,0.154799325178064,0.154799325178064,0.142375,NA,0,0.857625,1,1,0.875,0,1,1,NA
"PBMC","PBMC","Human","DeepSeekCell-FullRefined",1,"full",8,"Confidence",0.022003375,0.154799325178064,0.154799325178064,0.142375,NA,0,0.857625,1,1,0.875,0,1,1,NA
"BaronPancreas","Pancreas","Human","DeepSeek-Plain",1,"none",0,"LLMConfidence",0.1259375,0.367486218648233,0.367486218648233,0.2125,1,0.018656994047619,0.9,0.8125,1,1,0.6875,0.8125,0.8125,1
"BaronPancreas","Pancreas","Human","DeepSeekCell-Evidence",1,"none",0,"LLMConfidence",0.1259375,0.367486218648233,0.367486218648233,0.2125,1,0.018656994047619,0.9,0.8125,1,1,0.6875,0.8125,0.8125,1
"BaronPancreas","Pancreas","Human","DeepSeekCell-Calibrated",1,"none",0,"Confidence",0.1464088125,0.458979935879994,0.458979935879994,0.2303125,0.846153846153846,0.0465759500915751,0.8131875,0.8125,1,0.6875,0.0625,0.8125,1,1
