"Dataset","Tissue","Species","Method","RefinementSelector","RefinementBudgetK","Replicate","FirstPassResponseHash","RefinementResponseHash","RefinementPromptTokens","RefinementCompletionTokens","RefinementTokens","RefinementRuntimeSec","RefinementCostUSD","SecondPassCalls","CostPerCorrectedError","NClusters","NFlagged","NRefined","FlaggedRate","NInitiallyIncorrect","SelectionPrecision","SelectionRecall","SelectionSpecificity","SelectionNPV","SelectionMCC","ConflictPrecision","ConflictRecall","NLabelChanged","WrongToCorrect","CorrectToWrong","NetCorrectionRate","NetCorrectionPerChangedLabel","FullWrongToCorrect","FullNRefined","CorrectionEfficiency","HarmRate","RecoveryFraction","RelativeRefinementBudget"
"PBMC","PBMC","Human","DeepSeekCell-RandomK","random-k",0,1,"53749554ecf9fa086b170e4c30a12eb5",NA,0,0,0,0,0,0,NA,8,0,0,0,0,NA,NA,1,1,NA,NA,NA,0,0,0,NA,NA,0,8,NA,NA,NA,0
"PBMC","PBMC","Human","DeepSeekCell-ConfidenceK","confidence-k",0,1,"53749554ecf9fa086b170e4c30a12eb5",NA,0,0,0,0,0,0,NA,8,0,0,0,0,NA,NA,1,1,NA,NA,NA,0,0,0,NA,NA,0,8,NA,NA,NA,0
"PBMC","PBMC","Human","DeepSeekCell-SelfRefined","evidence-k",0,1,"53749554ecf9fa086b170e4c30a12eb5",NA,0,0,0,0,0,0,NA,8,0,0,0,0,NA,NA,1,1,NA,NA,NA,0,0,0,NA,NA,0,8,NA,NA,NA,0
"PBMC","PBMC","Human","DeepSeekCell-FullRefined","full",8,1,"53749554ecf9fa086b170e4c30a12eb5","6b777a206a39330ccc38e5ef8c2598a3",0,0,2659,5.36670804023743,0.00048006,1,NA,8,8,8,1,0,0,NA,0,NA,NA,0,NA,0,0,0,0,NA,0,8,0,0,NA,1
"BaronPancreas","Pancreas","Human","DeepSeekCell-RandomK","random-k",0,1,"219dc72a9494ebbe54e0322e38d12802",NA,0,0,0,0,0,0,NA,16,0,0,0,3,NA,0,1,0.8125,NA,NA,0,0,0,0,NA,NA,0,16,NA,NA,NA,0
"BaronPancreas","Pancreas","Human","DeepSeekCell-ConfidenceK","confidence-k",0,1,"219dc72a9494ebbe54e0322e38d12802",NA,0,0,0,0,0,0,NA,16,0,0,0,3,NA,0,1,0.8125,NA,NA,0,0,0,0,NA,NA,0,16,NA,NA,NA,0
"BaronPancreas","Pancreas","Human","DeepSeekCell-SelfRefined","evidence-k",0,1,"219dc72a9494ebbe54e0322e38d12802",NA,0,0,0,0,0,0,NA,16,0,0,0,3,NA,0,1,0.8125,NA,NA,0,0,0,0,NA,NA,0,16,NA,NA,NA,0
"BaronPancreas","Pancreas","Human","DeepSeekCell-FullRefined","full",16,1,"219dc72a9494ebbe54e0322e38d12802","8a4c350bf1a4843cda1cd788ab8544fa",0,0,4442,6.03602600097656,0.00077196,1,NA,16,16,16,1,3,0.1875,1,0,NA,NA,0.1875,1,0,0,0,0,NA,0,16,0,0,NA,1
"MuraroPancreas","Pancreas","Human","DeepSeekCell-RandomK","random-k",0,1,"7662d1b7f187fa2bf644e49784a26248",NA,0,0,0,0,0,0,NA,11,0,0,0,2,NA,0,1,0.818181818181818,NA,NA,0,0,0,0,NA,NA,0,11,NA,NA,NA,0
"MuraroPancreas","Pancreas","Human","DeepSeekCell-ConfidenceK","confidence-k",0,1,"7662d1b7f187fa2bf644e49784a26248",NA,0,0,0,0,0,0,NA,11,0,0,0,2,NA,0,1,0.818181818181818,NA,NA,0,0,0,0,NA,NA,0,11,NA,NA,NA,0
