"Metric","ReferenceMethod","ComparatorMethod","Blocks","NonzeroDifferences","ReferenceMean","ComparatorMean","ReferenceTotal","ComparatorTotal","MeanDifference","MedianDifference","WilcoxonStatistic","PValue","PValueBH"
"WrongToCorrect","DeepSeekCell-SelfRefined","DeepSeekCell-RandomK",18,6,0.722222222222222,0.5,13,9,0.222222222222222,0,15.5,0.330390048848794,0.330390048848794
"WrongToCorrect","DeepSeekCell-SelfRefined","DeepSeekCell-ConfidenceK",18,6,0.722222222222222,0.388888888888889,13,7,0.333333333333333,0,21,0.0196561572501699,0.0393123145003397
"NetCorrectionCount","DeepSeekCell-SelfRefined","DeepSeekCell-RandomK",18,6,0.722222222222222,0.5,13,9,0.222222222222222,0,15.5,0.330390048848794,0.330390048848794
"NetCorrectionCount","DeepSeekCell-SelfRefined","DeepSeekCell-ConfidenceK",18,6,0.722222222222222,0.388888888888889,13,7,0.333333333333333,0,21,0.0196561572501699,0.0393123145003397
"CorrectionEfficiency","DeepSeekCell-SelfRefined","DeepSeekCell-RandomK",6,6,0.916666666666667,0.25,5.5,1.5,0.666666666666667,1,19.5,0.0659873721961471,0.0659873721961471
"CorrectionEfficiency","DeepSeekCell-SelfRefined","DeepSeekCell-ConfidenceK",6,6,0.916666666666667,0.194444444444445,5.5,1.16666666666667,0.722222222222222,1,21,0.0310325195001449,0.0620650390002899
"NetCorrectionRate","DeepSeekCell-SelfRefined","DeepSeekCell-RandomK",6,6,0.916666666666667,0.25,5.5,1.5,0.666666666666667,1,19.5,0.0659873721961471,0.0659873721961471
"NetCorrectionRate","DeepSeekCell-SelfRefined","DeepSeekCell-ConfidenceK",6,6,0.916666666666667,0.194444444444445,5.5,1.16666666666667,0.722222222222222,1,21,0.0310325195001449,0.0620650390002899
"RecoveryFraction","DeepSeekCell-SelfRefined","DeepSeekCell-RandomK",2,2,0.40909090909091,0.409090909090909,0.818181818181819,0.818181818181818,4.9960036108132e-16,4.9960036108132e-16,2,1,1
"RecoveryFraction","DeepSeekCell-SelfRefined","DeepSeekCell-ConfidenceK",2,2,0.40909090909091,0.318181818181818,0.818181818181819,0.636363636363637,0.090909090909091,0.090909090909091,3,0.34577858615116,0.69155717230232
