"Dataset","Tissue","Species","Method","LLMBackend","LLMModelID","Replicate","RefinementSelector","RefinementBudgetK","ConfidenceColumn","Brier","BinaryCorrectnessNLL","NLL","ECE","AUROC","AURC","MeanConfidence","Accuracy","CoverageAt0.7","CoverageAt0.8","CoverageAt0.9","AccuracyAt0.7","AccuracyAt0.8","AccuracyAt0.9"
"PBMC","PBMC","Human","DeepSeek-Plain","deepseek","deepseek-chat",1,"none",0,"LLMConfidence",0.0025,0.0512932943875506,0.0512932943875506,0.05,NA,0,0.95,1,1,1,1,1,1,1
"PBMC","PBMC","Human","DeepSeekCell-Evidence","deepseek","deepseek-chat",1,"none",0,"LLMConfidence",0.0025,0.0512932943875506,0.0512932943875506,0.05,NA,0,0.95,1,1,1,1,1,1,1
"PBMC","PBMC","Human","DeepSeekCell-Calibrated","deepseek","deepseek-chat",1,"none",0,"Confidence",0.022003375,0.154799325178064,0.154799325178064,0.142375,NA,0,0.857625,1,1,0.875,0,1,1,NA
"PBMC","PBMC","Human","DeepSeekCell-SelfRefined","deepseek","deepseek-chat",1,"evidence-k",0,"Confidence",0.022003375,0.154799325178064,0.154799325178064,0.142375,NA,0,0.857625,1,1,0.875,0,1,1,NA
"PBMC","PBMC","Human","DeepSeekCell-RandomK","deepseek","deepseek-chat",1,"random-k",0,"Confidence",0.022003375,0.154799325178064,0.154799325178064,0.142375,NA,0,0.857625,1,1,0.875,0,1,1,NA
"PBMC","PBMC","Human","DeepSeekCell-ConfidenceK","deepseek","deepseek-chat",1,"confidence-k",0,"Confidence",0.022003375,0.154799325178064,0.154799325178064,0.142375,NA,0,0.857625,1,1,0.875,0,1,1,NA
"PBMC","PBMC","Human","DeepSeekCell-NoOntologyK","deepseek","deepseek-chat",1,"evidence-no-ontology-k",0,"Confidence",0.022003375,0.154799325178064,0.154799325178064,0.142375,NA,0,0.857625,1,1,0.875,0,1,1,NA
"PBMC","PBMC","Human","DeepSeekCell-FullRefined","deepseek","deepseek-chat",1,"full",8,"Confidence",0.022003375,0.154799325178064,0.154799325178064,0.142375,NA,0,0.857625,1,1,0.875,0,1,1,NA
"BaronPancreas","Pancreas","Human","DeepSeek-Plain","deepseek","deepseek-chat",1,"none",0,"LLMConfidence",0.12184375,0.344040576230241,0.344040576230241,0.190625,0.989583333333333,0.0340487637362637,0.871875,0.75,0.9375,0.8125,0.6875,0.8,0.923076923076923,1
"BaronPancreas","Pancreas","Human","DeepSeekCell-Evidence","deepseek","deepseek-chat",1,"none",0,"LLMConfidence",0.12184375,0.344040576230241,0.344040576230241,0.190625,0.989583333333333,0.0340487637362637,0.871875,0.75,0.9375,0.8125,0.6875,0.8,0.923076923076923,1
"BaronPancreas","Pancreas","Human","DeepSeekCell-Calibrated","deepseek","deepseek-chat",1,"none",0,"Confidence",0.1372590625,0.429799530779319,0.429799530779319,0.2340625,0.958333333333333,0.0449389152514153,0.7793125,0.75,0.875,0.625,0.0625,0.857142857142857,1,1
"BaronPancreas","Pancreas","Human","DeepSeekCell-SelfRefined","deepseek","deepseek-chat",1,"evidence-k",0,"Confidence",0.1372590625,0.429799530779319,0.429799530779319,0.2340625,0.958333333333333,0.0449389152514153,0.7793125,0.75,0.875,0.625,0.0625,0.857142857142857,1,1
"BaronPancreas","Pancreas","Human","DeepSeekCell-RandomK","deepseek","deepseek-chat",1,"random-k",0,"Confidence",0.1372590625,0.429799530779319,0.429799530779319,0.2340625,0.958333333333333,0.0449389152514153,0.7793125,0.75,0.875,0.625,0.0625,0.857142857142857,1,1
"BaronPancreas","Pancreas","Human","DeepSeekCell-ConfidenceK","deepseek","deepseek-chat",1,"confidence-k",0,"Confidence",0.1372590625,0.429799530779319,0.429799530779319,0.2340625,0.958333333333333,0.0449389152514153,0.7793125,0.75,0.875,0.625,0.0625,0.857142857142857,1,1
"BaronPancreas","Pancreas","Human","DeepSeekCell-NoOntologyK","deepseek","deepseek-chat",1,"evidence-no-ontology-k",0,"Confidence",0.1372590625,0.429799530779319,0.429799530779319,0.2340625,0.958333333333333,0.0449389152514153,0.7793125,0.75,0.875,0.625,0.0625,0.857142857142857,1,1
"BaronPancreas","Pancreas","Human","DeepSeekCell-FullRefined","deepseek","deepseek-chat",1,"full",16,"Confidence",0.1372590625,0.429799530779319,0.429799530779319,0.2340625,0.958333333333333,0.0449389152514153,0.7793125,0.75,0.875,0.625,0.0625,0.857142857142857,1,1
"MuraroPancreas","Pancreas","Human","DeepSeek-Plain","deepseek","deepseek-chat",1,"none",0,"LLMConfidence",0.118181818181818,0.407436099768787,0.407436099768787,0.127272727272727,0.694444444444444,0.0388200183654729,0.909090909090909,0.818181818181818,0.909090909090909,0.909090909090909,0.909090909090909,0.9,0.9,0.9
"MuraroPancreas","Pancreas","Human","DeepSeekCell-Evidence","deepseek","deepseek-chat",1,"none",0,"LLMConfidence",0.118181818181818,0.407436099768787,0.407436099768787,0.127272727272727,0.694444444444444,0.0388200183654729,0.909090909090909,0.818181818181818,0.909090909090909,0.909090909090909,0.909090909090909,0.9,0.9,0.9
"MuraroPancreas","Pancreas","Human","DeepSeekCell-Calibrated","deepseek","deepseek-chat",1,"none",0,"Confidence",0.12734,0.425803092154565,0.425803092154565,0.136363636363636,0.555555555555556,0.183625213170668,0.780909090909091,0.818181818181818,0.818181818181818,0.636363636363636,0,0.888888888888889,0.857142857142857,NA
"MuraroPancreas","Pancreas","Human","DeepSeekCell-SelfRefined","deepseek","deepseek-chat",1,"evidence-k",0,"Confidence",0.12734,0.425803092154565,0.425803092154565,0.136363636363636,0.555555555555556,0.183625213170668,0.780909090909091,0.818181818181818,0.818181818181818,0.636363636363636,0,0.888888888888889,0.857142857142857,NA
"MuraroPancreas","Pancreas","Human","DeepSeekCell-RandomK","deepseek","deepseek-chat",1,"random-k",0,"Confidence",0.12734,0.425803092154565,0.425803092154565,0.136363636363636,0.555555555555556,0.183625213170668,0.780909090909091,0.818181818181818,0.818181818181818,0.636363636363636,0,0.888888888888889,0.857142857142857,NA
"MuraroPancreas","Pancreas","Human","DeepSeekCell-ConfidenceK","deepseek","deepseek-chat",1,"confidence-k",0,"Confidence",0.12734,0.425803092154565,0.425803092154565,0.136363636363636,0.555555555555556,0.183625213170668,0.780909090909091,0.818181818181818,0.818181818181818,0.636363636363636,0,0.888888888888889,0.857142857142857,NA
"MuraroPancreas","Pancreas","Human","DeepSeekCell-NoOntologyK","deepseek","deepseek-chat",1,"evidence-no-ontology-k",0,"Confidence",0.12734,0.425803092154565,0.425803092154565,0.136363636363636,0.555555555555556,0.183625213170668,0.780909090909091,0.818181818181818,0.818181818181818,0.636363636363636,0,0.888888888888889,0.857142857142857,NA
"MuraroPancreas","Pancreas","Human","DeepSeekCell-FullRefined","deepseek","deepseek-chat",1,"full",11,"Confidence",0.109762727272727,0.375682445500914,0.375682445500914,0.187636363636364,0.888888888888889,0.0388200183654729,0.768181818181818,0.818181818181818,0.818181818181818,0.545454545454545,0,0.888888888888889,1,NA
"TasicBrain","Brain","Mouse","DeepSeek-Plain","deepseek","deepseek-chat",1,"none",0,"LLMConfidence",0.0158333333333333,0.106022122409628,0.106022122409628,0.0966666666666667,NA,0,0.903333333333333,1,1,0.933333333333333,0.733333333333333,1,1,1
"TasicBrain","Brain","Mouse","DeepSeekCell-Evidence","deepseek","deepseek-chat",1,"none",0,"LLMConfidence",0.0158333333333333,0.106022122409628,0.106022122409628,0.0966666666666667,NA,0,0.903333333333333,1,1,0.933333333333333,0.733333333333333,1,1,1
"TasicBrain","Brain","Mouse","DeepSeekCell-Calibrated","deepseek","deepseek-chat",1,"none",0,"Confidence",0.0319042,0.189141012779806,0.189141012779806,0.170733333333333,NA,0,0.829266666666667,1,1,0.666666666666667,0.133333333333333,1,1,1
"TasicBrain","Brain","Mouse","DeepSeekCell-SelfRefined","deepseek","deepseek-chat",1,"evidence-k",0,"Confidence",0.0319042,0.189141012779806,0.189141012779806,0.170733333333333,NA,0,0.829266666666667,1,1,0.666666666666667,0.133333333333333,1,1,1
"TasicBrain","Brain","Mouse","DeepSeekCell-RandomK","deepseek","deepseek-chat",1,"random-k",0,"Confidence",0.0319042,0.189141012779806,0.189141012779806,0.170733333333333,NA,0,0.829266666666667,1,1,0.666666666666667,0.133333333333333,1,1,1
"TasicBrain","Brain","Mouse","DeepSeekCell-ConfidenceK","deepseek","deepseek-chat",1,"confidence-k",0,"Confidence",0.0319042,0.189141012779806,0.189141012779806,0.170733333333333,NA,0,0.829266666666667,1,1,0.666666666666667,0.133333333333333,1,1,1
"TasicBrain","Brain","Mouse","DeepSeekCell-NoOntologyK","deepseek","deepseek-chat",1,"evidence-no-ontology-k",0,"Confidence",0.0319042,0.189141012779806,0.189141012779806,0.170733333333333,NA,0,0.829266666666667,1,1,0.666666666666667,0.133333333333333,1,1,1
"TasicBrain","Brain","Mouse","DeepSeekCell-FullRefined","deepseek","deepseek-chat",1,"full",15,"Confidence",0.0319042,0.189141012779806,0.189141012779806,0.170733333333333,NA,0,0.829266666666667,1,1,0.666666666666667,0.133333333333333,1,1,1
"ZeiselBrain","Brain","Mouse","DeepSeek-Plain","deepseek","deepseek-chat",1,"none",0,"LLMConfidence",0.19838125,0.613275370360621,0.613275370360621,0.204375,0.854545454545454,0.09135365502553,0.891875,0.6875,0.875,0.875,0.875,0.785714285714286,0.785714285714286,0.785714285714286
"ZeiselBrain","Brain","Mouse","DeepSeekCell-Evidence","deepseek","deepseek-chat",1,"none",0,"LLMConfidence",0.19838125,0.613275370360621,0.613275370360621,0.204375,0.854545454545454,0.09135365502553,0.891875,0.6875,0.875,0.875,0.875,0.785714285714286,0.785714285714286,0.785714285714286
"ZeiselBrain","Brain","Mouse","DeepSeekCell-Calibrated","deepseek","deepseek-chat",1,"none",0,"Confidence",0.160749375,0.478705875196732,0.478705875196732,0.147125,0.890909090909091,0.0906652808996559,0.805,0.6875,0.875,0.625,0.25,0.785714285714286,0.8,1
"ZeiselBrain","Brain","Mouse","DeepSeekCell-SelfRefined","deepseek","deepseek-chat",1,"evidence-k",1,"Confidence",0.1295953125,0.408504743979838,0.408504743979838,0.1735625,0.875,0.0668867590742591,0.8140625,0.75,0.875,0.6875,0.25,0.857142857142857,0.818181818181818,1
"ZeiselBrain","Brain","Mouse","DeepSeekCell-RandomK","deepseek","deepseek-chat",1,"random-k",1,"Confidence",0.1759321875,0.510837059516167,0.510837059516167,0.1599375,0.890909090909091,0.0906652808996559,0.8178125,0.6875,0.875,0.625,0.25,0.785714285714286,0.8,1
"ZeiselBrain","Brain","Mouse","DeepSeekCell-ConfidenceK","deepseek","deepseek-chat",1,"confidence-k",1,"Confidence",0.172783375,0.503300995525731,0.503300995525731,0.158125,0.890909090909091,0.0906652808996559,0.816,0.6875,0.875,0.625,0.25,0.785714285714286,0.8,1
"ZeiselBrain","Brain","Mouse","DeepSeekCell-NoOntologyK","deepseek","deepseek-chat",1,"evidence-no-ontology-k",1,"Confidence",0.129209375,0.406721964810472,0.406721964810472,0.175125,0.875,0.0668867590742591,0.815625,0.75,0.875,0.6875,0.25,0.857142857142857,0.818181818181818,1
"ZeiselBrain","Brain","Mouse","DeepSeekCell-FullRefined","deepseek","deepseek-chat",1,"full",16,"Confidence",0.139533375,0.428269558594122,0.428269558594122,0.183625,0.875,0.0668867590742591,0.824125,0.75,0.875,0.6875,0.25,0.857142857142857,0.818181818181818,1
