"Dataset","Tissue","Species","Method","LLMBackend","LLMModelID","RefinementSelector","RefinementBudgetK","Replicate","FirstPassResponseHash","RefinementResponseHash","RefinementPromptTokens","RefinementCompletionTokens","RefinementTokens","RefinementRuntimeSec","RefinementCostUSD","SecondPassCalls","CostPerCorrectedError","NClusters","NFlagged","NRefined","FlaggedRate","NInitiallyIncorrect","SelectionPrecision","SelectionRecall","SelectionSpecificity","SelectionNPV","SelectionMCC","ConflictPrecision","ConflictRecall","NLabelChanged","WrongToCorrect","CorrectToWrong","NetCorrectionRate","CorrectionEfficiency","HarmRate","NetCorrectionPerChangedLabel","RefinementFamily","FullWrongToCorrect","FullNRefined","RecoveryFraction","RelativeRefinementBudget","RefinementPricingDate","RefinementPricingSource","RefinementInputCostPer1MTokens","RefinementOutputCostPer1MTokens"
"PBMC","PBMC","Human","DeepSeekCell-RandomK","deepseek","deepseek-chat","random-k",0,1,"53749554ecf9fa086b170e4c30a12eb5",NA,0,0,0,0,0,0,NA,8,0,0,0,0,NA,NA,1,1,NA,NA,NA,0,0,0,NA,NA,NA,NA,"DeepSeekCell",0,8,NA,0,NA,NA,NA,NA
"PBMC","PBMC","Human","DeepSeekCell-ConfidenceK","deepseek","deepseek-chat","confidence-k",0,1,"53749554ecf9fa086b170e4c30a12eb5",NA,0,0,0,0,0,0,NA,8,0,0,0,0,NA,NA,1,1,NA,NA,NA,0,0,0,NA,NA,NA,NA,"DeepSeekCell",0,8,NA,0,NA,NA,NA,NA
"PBMC","PBMC","Human","DeepSeekCell-NoOntologyK","deepseek","deepseek-chat","evidence-no-ontology-k",0,1,"53749554ecf9fa086b170e4c30a12eb5",NA,0,0,0,0,0,0,NA,8,0,0,0,0,NA,NA,1,1,NA,NA,NA,0,0,0,NA,NA,NA,NA,"DeepSeekCell",0,8,NA,0,NA,NA,NA,NA
"PBMC","PBMC","Human","DeepSeekCell-SelfRefined","deepseek","deepseek-chat","evidence-k",0,1,"53749554ecf9fa086b170e4c30a12eb5",NA,0,0,0,0,0,0,NA,8,0,0,0,0,NA,NA,1,1,NA,NA,NA,0,0,0,NA,NA,NA,NA,"DeepSeekCell",0,8,NA,0,NA,NA,NA,NA
"PBMC","PBMC","Human","DeepSeekCell-FullRefined","deepseek","deepseek-chat","full",8,1,"53749554ecf9fa086b170e4c30a12eb5","ea6bbf169e8daf9ab42e4d642e2c24fd",1888,871,2759,5.12125396728516,0.0005082,1,NA,8,8,8,1,0,0,NA,0,NA,NA,0,NA,0,0,0,0,0,0,NA,"DeepSeekCell",0,8,NA,1,NA,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeekCell-RandomK","deepseek","deepseek-chat","random-k",0,1,"2e7fde728c38419260623244bfc1e112",NA,0,0,0,0,0,0,NA,16,0,0,0,4,NA,0,1,0.75,NA,NA,0,0,0,0,NA,NA,NA,NA,"DeepSeekCell",0,16,NA,0,NA,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeekCell-ConfidenceK","deepseek","deepseek-chat","confidence-k",0,1,"2e7fde728c38419260623244bfc1e112",NA,0,0,0,0,0,0,NA,16,0,0,0,4,NA,0,1,0.75,NA,NA,0,0,0,0,NA,NA,NA,NA,"DeepSeekCell",0,16,NA,0,NA,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeekCell-NoOntologyK","deepseek","deepseek-chat","evidence-no-ontology-k",0,1,"2e7fde728c38419260623244bfc1e112",NA,0,0,0,0,0,0,NA,16,0,0,0,4,NA,0,1,0.75,NA,NA,0,0,0,0,NA,NA,NA,NA,"DeepSeekCell",0,16,NA,0,NA,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeekCell-SelfRefined","deepseek","deepseek-chat","evidence-k",0,1,"2e7fde728c38419260623244bfc1e112",NA,0,0,0,0,0,0,NA,16,0,0,0,4,NA,0,1,0.75,NA,NA,0,0,0,0,NA,NA,NA,NA,"DeepSeekCell",0,16,NA,0,NA,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeekCell-FullRefined","deepseek","deepseek-chat","full",16,1,"2e7fde728c38419260623244bfc1e112","db2652e8f2371f321761faea8833f0dc",3354,1477,4831,7.93130588531494,0.00088312,1,NA,16,16,16,1,4,0.25,1,0,NA,NA,0.25,1,0,0,0,0,0,0,NA,"DeepSeekCell",0,16,NA,1,NA,NA,NA,NA
"MuraroPancreas","Pancreas","Human","DeepSeekCell-RandomK","deepseek","deepseek-chat","random-k",0,1,"4c95ac1e1151ef79ef46494340eb3473",NA,0,0,0,0,0,0,NA,11,0,0,0,2,NA,0,1,0.818181818181818,NA,NA,0,0,0,0,NA,NA,NA,NA,"DeepSeekCell",0,11,NA,0,NA,NA,NA,NA
"MuraroPancreas","Pancreas","Human","DeepSeekCell-ConfidenceK","deepseek","deepseek-chat","confidence-k",0,1,"4c95ac1e1151ef79ef46494340eb3473",NA,0,0,0,0,0,0,NA,11,0,0,0,2,NA,0,1,0.818181818181818,NA,NA,0,0,0,0,NA,NA,NA,NA,"DeepSeekCell",0,11,NA,0,NA,NA,NA,NA
