"RefinementFamily","Method","RefinementSelector","Blocks","TotalRefined","TotalWrongToCorrect","TotalCorrectToWrong","MeanSelectionPrecision","MeanSelectionRecall","MeanSelectionMCC","FullWrongToCorrect","FullNRefined","CorrectionEfficiency","HarmRate","NetCorrectionRate","RecoveryFraction","RelativeRefinementBudget","CorrectionEfficiency_ci95_low","CorrectionEfficiency_ci95_high","NetCorrectionRate_ci95_low","NetCorrectionRate_ci95_high","RecoveryFraction_ci95_low","RecoveryFraction_ci95_high","RelativeRefinementBudget_ci95_low","RelativeRefinementBudget_ci95_high"
"DeepSeekCell","DeepSeekCell-NoOntologyK","evidence-no-ontology-k",6,1,1,0,1,0.05,0.382970843102535,2,83,1,0,1,0.5,0.0120481927710843,1,1,1,1,0,1,0,0.037037037037037
"DeepSeekCell","DeepSeekCell-SelfRefined","evidence-k",6,1,1,0,1,0.05,0.382970843102535,2,83,1,0,1,0.5,0.0120481927710843,1,1,1,1,0,1,0,0.037037037037037
"OpenAICell","OpenAICell-NoOntologyK","evidence-no-ontology-k",18,4,3,1,0.75,0.0666666666666667,0.370702701237319,7,249,0.75,0.25,0.5,0.428571428571429,0.0160642570281124,0,1,-1,1,0,0.666666666666667,0.00403185321932893,0.0293094359515023
"OpenAICell","OpenAICell-SelfRefined","evidence-k",18,4,3,0,0.75,0.0666666666666667,0.370702701237319,7,249,0.75,0,0.75,0.428571428571429,0.0160642570281124,0,1,0,1,0,0.666666666666667,0.00403185321932893,0.0293094359515023
"OpenAICell","OpenAICell-FullRefined","full",18,249,7,9,0.149582012939856,1,NA,7,249,0.0281124497991968,0.036144578313253,-0.00803212851405622,1,1,0.00812925841809025,0.0505836575875486,-0.0327155686319757,0.0118133670791151,1,1,1,1
"DeepSeekCell","DeepSeekCell-FullRefined","full",6,83,2,1,0.173072638146168,1,NA,2,83,0.0240963855421687,0.0120481927710843,0.0120481927710843,1,1,0,0.05,0,0.037037037037037,1,1,1,1
"DeepSeekCell","DeepSeekCell-ConfidenceK","confidence-k",6,1,0,0,1,0.05,0.382970843102535,2,83,0,0,0,0,0.0120481927710843,0,0,0,0,0,0,0,0.037037037037037
"DeepSeekCell","DeepSeekCell-RandomK","random-k",6,1,0,0,1,0.05,0.382970843102535,2,83,0,0,0,0,0.0120481927710843,0,0,0,0,0,0,0,0.037037037037037
"OpenAICell","OpenAICell-ConfidenceK","confidence-k",18,4,0,0,0.25,0.0166666666666667,0.0204096006797224,7,249,0,0,0,0,0.0160642570281124,0,0,0,0,0,0,0.00403185321932893,0.0293094359515023
"OpenAICell","OpenAICell-RandomK","random-k",18,4,0,0,0,0,-0.125436237119515,7,249,0,0,0,0,0.0160642570281124,0,0,0,0,0,0,0.00403185321932893,0.0293094359515023
