"RefinementFamily","Metric","ReferenceMethod","ComparatorMethod","Blocks","NonzeroDifferences","ReferenceMean","ComparatorMean","ReferenceTotal","ComparatorTotal","MeanDifference","MedianDifference","WilcoxonStatistic","PValue","PValueBH"
"DeepSeekCell","WrongToCorrect","DeepSeekCell-SelfRefined","DeepSeekCell-RandomK",6,1,0.166666666666667,0,1,0,0.166666666666667,0,1,1,1
"DeepSeekCell","WrongToCorrect","DeepSeekCell-SelfRefined","DeepSeekCell-ConfidenceK",6,1,0.166666666666667,0,1,0,0.166666666666667,0,1,1,1
"DeepSeekCell","WrongToCorrect","DeepSeekCell-SelfRefined","DeepSeekCell-NoOntologyK",6,0,0.166666666666667,0.166666666666667,1,1,0,0,NA,NA,NA
"DeepSeekCell","NetCorrectionCount","DeepSeekCell-SelfRefined","DeepSeekCell-RandomK",6,1,0.166666666666667,0,1,0,0.166666666666667,0,1,1,1
"DeepSeekCell","NetCorrectionCount","DeepSeekCell-SelfRefined","DeepSeekCell-ConfidenceK",6,1,0.166666666666667,0,1,0,0.166666666666667,0,1,1,1
"DeepSeekCell","NetCorrectionCount","DeepSeekCell-SelfRefined","DeepSeekCell-NoOntologyK",6,0,0.166666666666667,0.166666666666667,1,1,0,0,NA,NA,NA
"DeepSeekCell","CorrectionEfficiency","DeepSeekCell-SelfRefined","DeepSeekCell-RandomK",1,1,1,0,1,0,1,1,NA,NA,NA
"DeepSeekCell","CorrectionEfficiency","DeepSeekCell-SelfRefined","DeepSeekCell-ConfidenceK",1,1,1,0,1,0,1,1,NA,NA,NA
"DeepSeekCell","CorrectionEfficiency","DeepSeekCell-SelfRefined","DeepSeekCell-NoOntologyK",1,0,1,1,1,1,0,0,NA,NA,NA
"DeepSeekCell","NetCorrectionRate","DeepSeekCell-SelfRefined","DeepSeekCell-RandomK",1,1,1,0,1,0,1,1,NA,NA,NA
"DeepSeekCell","NetCorrectionRate","DeepSeekCell-SelfRefined","DeepSeekCell-ConfidenceK",1,1,1,0,1,0,1,1,NA,NA,NA
"DeepSeekCell","NetCorrectionRate","DeepSeekCell-SelfRefined","DeepSeekCell-NoOntologyK",1,0,1,1,1,1,0,0,NA,NA,NA
"DeepSeekCell","RecoveryFraction","DeepSeekCell-SelfRefined","DeepSeekCell-RandomK",2,1,0.5,0,1,0,0.5,0.5,1,1,1
"DeepSeekCell","RecoveryFraction","DeepSeekCell-SelfRefined","DeepSeekCell-ConfidenceK",2,1,0.5,0,1,0,0.5,0.5,1,1,1
"DeepSeekCell","RecoveryFraction","DeepSeekCell-SelfRefined","DeepSeekCell-NoOntologyK",2,0,0.5,0.5,1,1,0,0,NA,NA,NA
"OpenAICell","WrongToCorrect","OpenAICell-SelfRefined","OpenAICell-RandomK",6,0,0,0,0,0,0,0,NA,NA,NA
"OpenAICell","WrongToCorrect","OpenAICell-SelfRefined","OpenAICell-ConfidenceK",6,0,0,0,0,0,0,0,NA,NA,NA
"OpenAICell","WrongToCorrect","OpenAICell-SelfRefined","OpenAICell-NoOntologyK",6,0,0,0,0,0,0,0,NA,NA,NA
"OpenAICell","NetCorrectionCount","OpenAICell-SelfRefined","OpenAICell-RandomK",6,0,0,0,0,0,0,0,NA,NA,NA
"OpenAICell","NetCorrectionCount","OpenAICell-SelfRefined","OpenAICell-ConfidenceK",6,0,0,0,0,0,0,0,NA,NA,NA
"OpenAICell","NetCorrectionCount","OpenAICell-SelfRefined","OpenAICell-NoOntologyK",6,0,0,0,0,0,0,0,NA,NA,NA
"OpenAICell","CorrectionEfficiency","OpenAICell-SelfRefined","OpenAICell-RandomK",0,0,NA,NA,0,0,NA,NA,NA,NA,NA
"OpenAICell","CorrectionEfficiency","OpenAICell-SelfRefined","OpenAICell-ConfidenceK",0,0,NA,NA,0,0,NA,NA,NA,NA,NA
"OpenAICell","CorrectionEfficiency","OpenAICell-SelfRefined","OpenAICell-NoOntologyK",0,0,NA,NA,0,0,NA,NA,NA,NA,NA
"OpenAICell","NetCorrectionRate","OpenAICell-SelfRefined","OpenAICell-RandomK",0,0,NA,NA,0,0,NA,NA,NA,NA,NA
"OpenAICell","NetCorrectionRate","OpenAICell-SelfRefined","OpenAICell-ConfidenceK",0,0,NA,NA,0,0,NA,NA,NA,NA,NA
"OpenAICell","NetCorrectionRate","OpenAICell-SelfRefined","OpenAICell-NoOntologyK",0,0,NA,NA,0,0,NA,NA,NA,NA,NA
"OpenAICell","RecoveryFraction","OpenAICell-SelfRefined","OpenAICell-RandomK",0,0,NA,NA,0,0,NA,NA,NA,NA,NA
"OpenAICell","RecoveryFraction","OpenAICell-SelfRefined","OpenAICell-ConfidenceK",0,0,NA,NA,0,0,NA,NA,NA,NA,NA
"OpenAICell","RecoveryFraction","OpenAICell-SelfRefined","OpenAICell-NoOntologyK",0,0,NA,NA,0,0,NA,NA,NA,NA,NA
